,playerId,squadId,firstName,lastName,displayName,position,price,gameWeekPoints,averagePoints,last3Average,bonusPoints,totalPoints,percentSelected,form,goals,assists,minutesPlayed,shotsOnTarget,chancesCreated,tackles,cleanSheet,saves,goalsConceded,yellowCards,redCards,ownGoals,penaltyMisses,penaltySaves,bonusPpm,dribbles,crosses,offsides,passCompletionRate,interceptions,blocks,foulsWon,foulsMade,goalsOutsideArea,errorsLeadingToGoal,averagePoints_per_price,totalPoints_per_price
242,590676,3573,Christian,Gomis,C. Gomis,FWD,5.5,,2.5,0,6,68,0,,5,1,1586,12,0,16,0,,0,3,0,0,0,0,286,15,2,10,72,2,1,32,20,1,0,0.45454545454545453,12.363636363636363
243,591971,935,Diego,Mina,D. Mina,GK,3.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
244,596083,3573,Ledjan,Sahitaj,L. Sahitaj,DEF,4.5,,2.2,0,0,11,0,,0,0,242,0,0,6,2,,2,3,0,0,0,0,58,0,0,0,74,4,0,2,5,0,0,0.48888888888888893,2.4444444444444446
245,596085,249,Laurent,Seji,L. Seji,GK,3.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
246,596390,935,Ayman,El Wafi,A. El Wafi,DEF,4.5,,1.7,0,0,20,0,,0,0,836,1,0,11,2,,14,2,0,1,0,0,180,5,1,1,85,11,5,10,10,0,0,0.37777777777777777,4.444444444444445
247,601494,249,Nicolas,Glaus,N. Glaus,GK,3.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
248,603613,453,Noah,Yannick,N. Yannick,MID,4.5,,1.4,0,1,14,0,,1,0,531,1,0,9,0,,0,2,1,1,0,0,88,3,0,0,76,5,3,1,10,1,0,0.3111111111111111,3.111111111111111
249,604962,595,Umeh,Emmanuel,U. Emmanuel,FWD,5.5,,1.7,0,0,48,0,,1,4,1210,11,1,13,0,,0,1,1,0,0,0,192,28,4,4,65,3,1,6,17,0,0,0.3090909090909091,8.727272727272727
250,610645,1963,Mats,Seiler,M. Seiler,DEF,4.0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
251,610676,1269,Diego,Heller,D. Heller,GK,4.0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
